Images,Labels
artifacts/data_ingestion/data/dataset\frost\3727.jpg,frost
artifacts/data_ingestion/data/dataset\rain\1375.jpg,rain
artifacts/data_ingestion/data/dataset\glaze\6146.jpg,glaze
artifacts/data_ingestion/data/dataset\frost\3819.jpg,frost
artifacts/data_ingestion/data/dataset\glaze\6247.jpg,glaze
artifacts/data_ingestion/data/dataset\rime\5908.jpg,rime
artifacts/data_ingestion/data/dataset\glaze\6530.jpg,glaze
artifacts/data_ingestion/data/dataset\hail\0499.jpg,hail
artifacts/data_ingestion/data/dataset\hail\0190.jpg,hail
artifacts/data_ingestion/data/dataset\lightning\1930.jpg,lightning
artifacts/data_ingestion/data/dataset\fogsmog\4188.jpg,fogsmog
artifacts/data_ingestion/data/dataset\frost\4006.jpg,frost
artifacts/data_ingestion/data/dataset\frost\3929.jpg,frost
artifacts/data_ingestion/data/dataset\rain\1780.jpg,rain
artifacts/data_ingestion/data/dataset\lightning\2008.jpg,lightning
artifacts/data_ingestion/data/dataset\fogsmog\4598.jpg,fogsmog
artifacts/data_ingestion/data/dataset\glaze\6676.jpg,glaze
artifacts/data_ingestion/data/dataset\glaze\6162.jpg,glaze
artifacts/data_ingestion/data/dataset\frost\3888.jpg,frost
artifacts/data_ingestion/data/dataset\sandstorm\3104.jpg,sandstorm
artifacts/data_ingestion/data/dataset\rime\5360.jpg,rime
artifacts/data_ingestion/data/dataset\hail\0277.jpg,hail
artifacts/data_ingestion/data/dataset\glaze\6586.jpg,glaze
artifacts/data_ingestion/data/dataset\rime\5487.jpg,rime
artifacts/data_ingestion/data/dataset\frost\3862.jpg,frost
artifacts/data_ingestion/data/dataset\snow\1089.jpg,snow
artifacts/data_ingestion/data/dataset\frost\3859.jpg,frost
artifacts/data_ingestion/data/dataset\sandstorm\3171.jpg,sandstorm
artifacts/data_ingestion/data/dataset\glaze\6387.jpg,glaze
artifacts/data_ingestion/data/dataset\dew\2691.jpg,dew
artifacts/data_ingestion/data/dataset\sandstorm\3275.jpg,sandstorm
artifacts/data_ingestion/data/dataset\dew\2727.jpg,dew
artifacts/data_ingestion/data/dataset\snow\1148.jpg,snow
artifacts/data_ingestion/data/dataset\glaze\6622.jpg,glaze
artifacts/data_ingestion/data/dataset\fogsmog\4508.jpg,fogsmog
artifacts/data_ingestion/data/dataset\glaze\6109.jpg,glaze
artifacts/data_ingestion/data/dataset\dew\2733.jpg,dew
artifacts/data_ingestion/data/dataset\sandstorm\3317.jpg,sandstorm
artifacts/data_ingestion/data/dataset\dew\2664.jpg,dew
artifacts/data_ingestion/data/dataset\rime\5350.jpg,rime
artifacts/data_ingestion/data/dataset\hail\0231.jpg,hail
artifacts/data_ingestion/data/dataset\fogsmog\4409.jpg,fogsmog
artifacts/data_ingestion/data/dataset\frost\3868.jpg,frost
artifacts/data_ingestion/data/dataset\snow\1329.jpg,snow
artifacts/data_ingestion/data/dataset\snow\1187.jpg,snow
artifacts/data_ingestion/data/dataset\rime\5502.jpg,rime
artifacts/data_ingestion/data/dataset\snow\1139.jpg,snow
artifacts/data_ingestion/data/dataset\sandstorm\3155.jpg,sandstorm
artifacts/data_ingestion/data/dataset\rainbow\0622.jpg,rainbow
artifacts/data_ingestion/data/dataset\sandstorm\3180.jpg,sandstorm
artifacts/data_ingestion/data/dataset\rainbow\0653.jpg,rainbow
artifacts/data_ingestion/data/dataset\glaze\6176.jpg,glaze
artifacts/data_ingestion/data/dataset\rain\1732.jpg,rain
artifacts/data_ingestion/data/dataset\snow\0969.jpg,snow
artifacts/data_ingestion/data/dataset\dew\2821.jpg,dew
artifacts/data_ingestion/data/dataset\glaze\6327.jpg,glaze
artifacts/data_ingestion/data/dataset\fogsmog\4369.jpg,fogsmog
artifacts/data_ingestion/data/dataset\dew\2589.jpg,dew
artifacts/data_ingestion/data/dataset\dew\2846.jpg,dew
artifacts/data_ingestion/data/dataset\frost\4039.jpg,frost
artifacts/data_ingestion/data/dataset\fogsmog\4817.jpg,fogsmog
artifacts/data_ingestion/data/dataset\frost\3996.jpg,frost
artifacts/data_ingestion/data/dataset\rain\1592.jpg,rain
artifacts/data_ingestion/data/dataset\snow\1126.jpg,snow
artifacts/data_ingestion/data/dataset\frost\3815.jpg,frost
artifacts/data_ingestion/data/dataset\fogsmog\4833.jpg,fogsmog
artifacts/data_ingestion/data/dataset\fogsmog\4165.jpg,fogsmog
artifacts/data_ingestion/data/dataset\rain\1654.jpg,rain
artifacts/data_ingestion/data/dataset\sandstorm\3550.jpg,sandstorm
artifacts/data_ingestion/data/dataset\dew\2264.jpg,dew
artifacts/data_ingestion/data/dataset\frost\3940.jpg,frost
artifacts/data_ingestion/data/dataset\frost\3690.jpg,frost
artifacts/data_ingestion/data/dataset\snow\0853.jpg,snow
artifacts/data_ingestion/data/dataset\frost\3827.jpg,frost
artifacts/data_ingestion/data/dataset\sandstorm\3359.jpg,sandstorm
artifacts/data_ingestion/data/dataset\frost\3892.jpg,frost
artifacts/data_ingestion/data/dataset\glaze\6222.jpg,glaze
artifacts/data_ingestion/data/dataset\rain\1448.jpg,rain
artifacts/data_ingestion/data/dataset\lightning\1952.jpg,lightning
artifacts/data_ingestion/data/dataset\rain\1220.jpg,rain
artifacts/data_ingestion/data/dataset\sandstorm\2945.jpg,sandstorm
artifacts/data_ingestion/data/dataset\frost\3816.jpg,frost
artifacts/data_ingestion/data/dataset\lightning\2055.jpg,lightning
artifacts/data_ingestion/data/dataset\frost\4010.jpg,frost
artifacts/data_ingestion/data/dataset\rain\1017.jpg,rain
artifacts/data_ingestion/data/dataset\rain\1816.jpg,rain
artifacts/data_ingestion/data/dataset\hail\0521.jpg,hail
artifacts/data_ingestion/data/dataset\dew\2867.jpg,dew
artifacts/data_ingestion/data/dataset\snow\1230.jpg,snow
artifacts/data_ingestion/data/dataset\rime\5894.jpg,rime
artifacts/data_ingestion/data/dataset\lightning\1911.jpg,lightning
artifacts/data_ingestion/data/dataset\dew\2444.jpg,dew
artifacts/data_ingestion/data/dataset\snow\0860.jpg,snow
artifacts/data_ingestion/data/dataset\dew\2779.jpg,dew
artifacts/data_ingestion/data/dataset\rain\1783.jpg,rain
artifacts/data_ingestion/data/dataset\dew\2349.jpg,dew
artifacts/data_ingestion/data/dataset\glaze\6560.jpg,glaze
artifacts/data_ingestion/data/dataset\rime\6083.jpg,rime
artifacts/data_ingestion/data/dataset\snow\1189.jpg,snow
artifacts/data_ingestion/data/dataset\fogsmog\4080.jpg,fogsmog
artifacts/data_ingestion/data/dataset\frost\3626.jpg,frost
artifacts/data_ingestion/data/dataset\lightning\2174.jpg,lightning
artifacts/data_ingestion/data/dataset\hail\0077.jpg,hail
artifacts/data_ingestion/data/dataset\snow\1137.jpg,snow
artifacts/data_ingestion/data/dataset\rime\5869.jpg,rime
artifacts/data_ingestion/data/dataset\rainbow\0780.jpg,rainbow
artifacts/data_ingestion/data/dataset\lightning\1883.jpg,lightning
artifacts/data_ingestion/data/dataset\snow\1037.jpg,snow
artifacts/data_ingestion/data/dataset\sandstorm\3505.jpg,sandstorm
artifacts/data_ingestion/data/dataset\rain\1617.jpg,rain
artifacts/data_ingestion/data/dataset\snow\1377.jpg,snow
artifacts/data_ingestion/data/dataset\rain\1279.jpg,rain
artifacts/data_ingestion/data/dataset\glaze\6382.jpg,glaze
artifacts/data_ingestion/data/dataset\hail\0177.jpg,hail
artifacts/data_ingestion/data/dataset\dew\2862.jpg,dew
artifacts/data_ingestion/data/dataset\dew\2283.jpg,dew
artifacts/data_ingestion/data/dataset\snow\0847.jpg,snow
artifacts/data_ingestion/data/dataset\glaze\6639.jpg,glaze
artifacts/data_ingestion/data/dataset\snow\0866.jpg,snow
artifacts/data_ingestion/data/dataset\rain\1597.jpg,rain
artifacts/data_ingestion/data/dataset\fogsmog\4391.jpg,fogsmog
artifacts/data_ingestion/data/dataset\hail\0433.jpg,hail
artifacts/data_ingestion/data/dataset\rainbow\0752.jpg,rainbow
artifacts/data_ingestion/data/dataset\dew\2794.jpg,dew
artifacts/data_ingestion/data/dataset\rime\5036.jpg,rime
artifacts/data_ingestion/data/dataset\dew\2421.jpg,dew
artifacts/data_ingestion/data/dataset\sandstorm\3509.jpg,sandstorm
artifacts/data_ingestion/data/dataset\frost\3918.jpg,frost
artifacts/data_ingestion/data/dataset\sandstorm\3075.jpg,sandstorm
artifacts/data_ingestion/data/dataset\frost\3891.jpg,frost
artifacts/data_ingestion/data/dataset\fogsmog\4479.jpg,fogsmog
artifacts/data_ingestion/data/dataset\snow\0954.jpg,snow
artifacts/data_ingestion/data/dataset\hail\0194.jpg,hail
artifacts/data_ingestion/data/dataset\rainbow\0609.jpg,rainbow
artifacts/data_ingestion/data/dataset\lightning\2079.jpg,lightning
artifacts/data_ingestion/data/dataset\sandstorm\3244.jpg,sandstorm
artifacts/data_ingestion/data/dataset\hail\0549.jpg,hail
artifacts/data_ingestion/data/dataset\rain\1250.jpg,rain
artifacts/data_ingestion/data/dataset\sandstorm\3539.jpg,sandstorm
artifacts/data_ingestion/data/dataset\rain\1715.jpg,rain
artifacts/data_ingestion/data/dataset\dew\2219.jpg,dew
artifacts/data_ingestion/data/dataset\sandstorm\3194.jpg,sandstorm
artifacts/data_ingestion/data/dataset\dew\2784.jpg,dew
artifacts/data_ingestion/data/dataset\glaze\6334.jpg,glaze
artifacts/data_ingestion/data/dataset\glaze\6354.jpg,glaze
artifacts/data_ingestion/data/dataset\rime\5574.jpg,rime
artifacts/data_ingestion/data/dataset\dew\2473.jpg,dew
artifacts/data_ingestion/data/dataset\glaze\6350.jpg,glaze
artifacts/data_ingestion/data/dataset\hail\0112.jpg,hail
artifacts/data_ingestion/data/dataset\dew\2433.jpg,dew
artifacts/data_ingestion/data/dataset\hail\0400.jpg,hail
artifacts/data_ingestion/data/dataset\glaze\6495.jpg,glaze
artifacts/data_ingestion/data/dataset\sandstorm\2984.jpg,sandstorm
artifacts/data_ingestion/data/dataset\lightning\1872.jpg,lightning
artifacts/data_ingestion/data/dataset\rain\1801.jpg,rain
artifacts/data_ingestion/data/dataset\lightning\1906.jpg,lightning
artifacts/data_ingestion/data/dataset\frost\3872.jpg,frost
artifacts/data_ingestion/data/dataset\rain\1465.jpg,rain
artifacts/data_ingestion/data/dataset\sandstorm\3405.jpg,sandstorm
artifacts/data_ingestion/data/dataset\lightning\2145.jpg,lightning
artifacts/data_ingestion/data/dataset\dew\2294.jpg,dew
artifacts/data_ingestion/data/dataset\snow\1119.jpg,snow
artifacts/data_ingestion/data/dataset\sandstorm\3339.jpg,sandstorm
artifacts/data_ingestion/data/dataset\snow\1313.jpg,snow
artifacts/data_ingestion/data/dataset\rainbow\0737.jpg,rainbow
artifacts/data_ingestion/data/dataset\rain\1818.jpg,rain
artifacts/data_ingestion/data/dataset\rime\5814.jpg,rime
artifacts/data_ingestion/data/dataset\snow\1336.jpg,snow
artifacts/data_ingestion/data/dataset\dew\2213.jpg,dew
artifacts/data_ingestion/data/dataset\fogsmog\4325.jpg,fogsmog
artifacts/data_ingestion/data/dataset\rainbow\0684.jpg,rainbow
artifacts/data_ingestion/data/dataset\glaze\6377.jpg,glaze
artifacts/data_ingestion/data/dataset\snow\1282.jpg,snow
artifacts/data_ingestion/data/dataset\snow\1238.jpg,snow
artifacts/data_ingestion/data/dataset\sandstorm\3153.jpg,sandstorm
artifacts/data_ingestion/data/dataset\glaze\6101.jpg,glaze
artifacts/data_ingestion/data/dataset\dew\2326.jpg,dew
artifacts/data_ingestion/data/dataset\sandstorm\3336.jpg,sandstorm
artifacts/data_ingestion/data/dataset\frost\3877.jpg,frost
artifacts/data_ingestion/data/dataset\dew\2636.jpg,dew
artifacts/data_ingestion/data/dataset\sandstorm\3090.jpg,sandstorm
artifacts/data_ingestion/data/dataset\lightning\1880.jpg,lightning
artifacts/data_ingestion/data/dataset\fogsmog\4214.jpg,fogsmog
artifacts/data_ingestion/data/dataset\rain\1601.jpg,rain
artifacts/data_ingestion/data/dataset\dew\2544.jpg,dew
artifacts/data_ingestion/data/dataset\hail\0383.jpg,hail
artifacts/data_ingestion/data/dataset\lightning\2041.jpg,lightning
artifacts/data_ingestion/data/dataset\snow\1194.jpg,snow
artifacts/data_ingestion/data/dataset\rain\1696.jpg,rain
artifacts/data_ingestion/data/dataset\frost\3952.jpg,frost
artifacts/data_ingestion/data/dataset\rime\4986.jpg,rime
artifacts/data_ingestion/data/dataset\dew\2223.jpg,dew
artifacts/data_ingestion/data/dataset\rime\5775.jpg,rime
artifacts/data_ingestion/data/dataset\hail\0210.jpg,hail
artifacts/data_ingestion/data/dataset\glaze\6686.jpg,glaze
artifacts/data_ingestion/data/dataset\hail\0031.jpg,hail
artifacts/data_ingestion/data/dataset\sandstorm\3198.jpg,sandstorm
artifacts/data_ingestion/data/dataset\fogsmog\4356.jpg,fogsmog
artifacts/data_ingestion/data/dataset\hail\0390.jpg,hail
artifacts/data_ingestion/data/dataset\sandstorm\3572.jpg,sandstorm
artifacts/data_ingestion/data/dataset\frost\4066.jpg,frost
artifacts/data_ingestion/data/dataset\frost\3762.jpg,frost
artifacts/data_ingestion/data/dataset\glaze\6318.jpg,glaze
artifacts/data_ingestion/data/dataset\snow\0992.jpg,snow
artifacts/data_ingestion/data/dataset\dew\2268.jpg,dew
artifacts/data_ingestion/data/dataset\rime\5226.jpg,rime
artifacts/data_ingestion/data/dataset\rime\5670.jpg,rime
artifacts/data_ingestion/data/dataset\frost\3912.jpg,frost
artifacts/data_ingestion/data/dataset\rain\1578.jpg,rain
artifacts/data_ingestion/data/dataset\glaze\6379.jpg,glaze
artifacts/data_ingestion/data/dataset\glaze\6497.jpg,glaze
artifacts/data_ingestion/data/dataset\hail\0587.jpg,hail
artifacts/data_ingestion/data/dataset\hail\0157.jpg,hail
artifacts/data_ingestion/data/dataset\glaze\6351.jpg,glaze
artifacts/data_ingestion/data/dataset\frost\4019.jpg,frost
